code,name,market_id,category_id,color,url,listing_date,delisting_date
1893,五洋建設,1,3,,,,
1897,金下建設,2,3,,,,
1898,世紀東急工業,1,3,,,,
1899,福田組,1,3,,,,
1904,大成温調,4,3,,,,
1905,テノックス,4,3,,,,
1906,細田工務店,4,3,,,,
1909,日本ドライケミカル,1,15,,,,
1911,住友林業,1,3,,,,
1914,日本基礎技術,1,3,,,,
1916,日成ビルド工業,1,3,,,,
1919,ヤマダ・エスバイエルホーム,1,3,,,,
1921,巴コーポレーション,1,3,,,,
1925,大和ハウス工業,1,3,,,,
1926,ライト工業,1,3,,,,
1928,積水ハウス,1,3,,,,
1929,日特建設,1,3,,,,
1930,北陸電気工事,1,3,,,,
1931,日本電通,2,3,,,,
1933,ＳＹＳＫＥＮ,2,3,,,,
1934,ユアテック,1,3,,,,
1935,ＴＴＫ,2,3,,,,
1936,シーキューブ,6,3,,,,
1937,西部電気工業,1,3,,,,
1938,日本リーテック,2,3,,,,
1939,四電工,1,3,,,,
1941,中電工,1,3,,,,
1942,関電工,1,3,,,,
1944,きんでん,1,3,,,,
1945,東京エネシス,1,3,,,,
1946,トーエネック,1,3,,,,
1948,弘電社,2,3,,,,
1949,住友電設,1,3,,,,
1950,日本電設工業,1,3,,,,
1951,協和エクシオ,1,3,,,,
1952,新日本空調,1,3,,,,
1954,日本工営,1,33,,,,
1956,ＮＤＳ,1,3,,,,
1959,九電工,1,3,,,,
1960,サンテック,2,3,,,,
1961,三機工業,1,3,,,,
1963,日揮,1,3,,,,
1964,中外炉工業,1,3,,,,
1965,テクノ菱和,2,3,,,,
1966,高田工業所,2,3,,,,
1967,ヤマト,1,3,,,,
1968,太平電業,1,3,,,,
1969,高砂熱学工業,1,3,,,,
1971,中央ビルト工業,2,14,,,,
1972,三晃金属工業,1,3,,,,
1973,ＮＥＣネッツエスアイ,1,25,,,,
1975,朝日工業社,1,3,,,,
1976,明星工業,1,3,,,,
1979,大気社,1,3,,,,
1980,ダイダン,1,3,,,,
1981,協和日成,4,3,,,,
1982,日比谷総合設備,1,3,,,,
1983,東芝プラントシステム,1,3,,,,
1984,三信建設工業,4,3,,,,
1987,ソルコム,2,3,,,,
1989,北陸電話工事,2,3,,,,
1992,神田通信機,4,3,,,,
1994,高橋カーテンウォール工業,4,3,,,,
1997,暁飯島工業,4,3,,,,
1999,サイタホールディングス,10,3,,,,
2001,日本製粉,1,4,,,,
2002,日清製粉グループ本社,1,4,,,,
2003,日東富士製粉,1,4,,,,
2004,昭和産業,1,4,,,,
2009,鳥越製粉,1,4,,,,
2053,中部飼料,1,4,,,,
2055,日和産業,2,4,,,,
2058,ヒガシマル,10,4,,,,
2060,フィード・ワン,1,4,,,,
2107,東洋精糖,1,4,,,,
2108,日本甜菜製糖,1,4,,,,
2109,三井製糖,1,4,,,,
2112,塩水港精糖,1,4,,,,
2114,フジ日本精糖,2,4,,,,
2117,日新製糖,1,4,,,,
2120,ＬＩＦＵＬＬ,1,33,,,,
2121,ミクシィ,3,33,,,,
2122,インタースペース,3,33,,,,
